Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
IF1800003,1/1/18,1:22,1/1/18,1:22,600 BLK DANIEL,PUBLIC URINATION,ADMIN CLOSED,18
II1800001,1/2/18,10:54,1/2/18,10:50,IDOC PAROLE OFFICE,WARRANT-IN STATE,ARREST,0
II1800006,1/4/18,10:01,8/1/16,12:00,PTI RANGE,THEFT $500 AND UNDER,UNFOUNDED,27
CC1800040,1/5/18,0:00,1/2/18,13:28,200 blk of E GREEN,RESIST/OBS CORRECT/POLICE/FIRE,REPORTED TO OTHER AGENCY,0
II1800014,1/8/18,17:46,1/8/18,17:40,1400 blk of GREEN ST W,ROBBERY-ARMED,ARREST,0
II1800018,1/9/18,16:36,1/9/18,16:36,WALMART,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
IF1800016,1/10/18,22:14,1/10/18,22:14,500 BLK FIRST,DRUGS,ADMIN CLOSED,0
CC1800071,1/11/18,0:00,1/4/18,13:50,RAGSTOCK,THEFT-RETAIL,REPORTED TO OTHER AGENCY,10
II1800023,1/11/18,16:32,1/2/18,17:30,900 blk of ILLINOIS ST W,THEFT $500 AND UNDER,ADMIN. CLOSE,0
II1800027,1/13/18,23:54,1/13/18,23:54,1000 blk of STOUGHTON ST W,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
IF1800023,1/14/18,19:57,1/14/18,19:57,1000 BLK GREGORY,DRUGS,STUDENT DISC REFERRAL,48
IF1800024,1/14/18,23:06,1/14/18,23:06,1200 BLK FIRST,DRUGS,ADMIN CLOSED,0
IF1800026,1/15/18,23:44,1/15/18,23:44,1000 BLK ILLINOIS,DRUGS,ADMIN CLOSED,0
IF1800025,1/16/18,1:15,1/16/18,1:15,1200 BLK FOURTH,LIQUOR-UNDERAGE,ADMIN CLOSED,35
00095-2018,1/17/18,10:45,1/15/18,3:17,LAR,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,32
CC1710804,1/17/18,0:00,12/1/17,17:30,SULLIVAN PLUMBING,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
CC1710939,1/17/18,0:00,12/5/17,1:09,blk of E ARMORY ST,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,0
CC1800067,1/17/18,0:00,12/9/17,12:00,300 blk of S FOURTH ST,FORGERY,REPORTED TO OTHER AGENCY,0
