Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
IF1900002,1/1/19,3:10,1/1/19,3:10,C7 PARKING LOT,LIQUOR-UNDERAGE,STUDENT DISC REFERRAL,17
II1900002,1/2/19,2:35,1/2/19,2:35,FOURTH ST S / SPRINGFIELD,WARRANT-IN STATE,ARREST,51
II1900012,1/5/19,22:17,1/5/19,22:17,LINCOLN AV N / KILLARNEY,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,51
CC1810459,1/8/19,0:00,12/31/18,23:38,600 blk of E DANEIL ST,BATTERY -CITY,REPORTED TO OTHER AGENCY,18
II1900020,1/8/19,17:24,1/8/19,17:00,UNI HIGH SCHOOL,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,7
UU1900184,1/13/19,7:00,1/12/19,19:19,"902 S LINCOLN AVE, URBANA",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,51
II1900034,1/14/19,13:42,1/14/19,11:00,700 blk of BIRCH ST S,DECEPTIVE PRACTICES,ADMIN. CLOSE,51
II1900039,1/14/19,17:28,1/14/19,17:28,ACTIVIES AND RECREATION,THEFT OF LOST/MISLAID PROPERTY,ADMIN. CLOSE,39
II1900042,1/16/19,9:26,1/15/19,22:00,700 blk of ELM BLVD S,THEFT OVER $500,UNFOUNDED,51
II1900045,1/16/19,13:42,1/14/19,7:00,FIFTH S / WHITE,FRAUD-CREDIT CARD,PENDING,51
II1900047,1/16/19,20:01,1/16/19,20:01,2000 blk of PHILO RD S,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,51
CC1900388,1/17/19,7:00,1/17/19,3:24,"302 E JOHN ST, CHAMPAIGN",DOMESTIC BATTERY,REPORTED TO OTHER AGENCY,51
II1900061,1/17/19,20:37,1/17/19,20:37,BEECH ST / ROMINE,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,51
II1900065,1/18/19,17:07,1/18/19,16:10,ACTIVITIES RECREATION CEN,THEFT $500 AND UNDER,ADMIN. CLOSE,39
