Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
II1300002,1/1/13,1:39:00 a. m.,1/1/13,1:39:00 a. m.,500 blk of JOHN STREET E,DRIVING UNDER THE INFL-,ARREST,0
II1300001,1/1/13,12:44:00 a. m.,1/1/13,12:44:00 a. m.,600 blk of GREEN E,POSSESSION OF CANNABIS,ARREST,14
II1300003,1/1/13,6:25:00 a. m.,1/1/13,6:25:00 a. m.,CIRCLE K,DRIVING UNDER THE INFL-,ARREST,0
II1300004,1/1/13,9:22:00 a. m.,1/1/13,2:00:00 a. m.,COMPUTER APPLICATION BLDG,CRIMINAL DAMAGE GOVT,ARREST,9
II1300006,1/3/13,11:00:00 a. m.,12/20/12,8:00:00 a. m.,KIRK / GERTY,THEFT FROM COIN-OP,ADMIN. CLOSE,0
II1300007,1/3/13,12:43:00 p. m.,11/28/12,12:00:00 p. m.,WILLARD AIRPORT,THEFT BY LESSEE,CLEARED EXCEPT. PROS.,0
2975-2012,1/3/13,2:47:00 p. m.,12/22/12,3:30:00 p. m.,LUNDGREN HALL,DRUG,STUDENT DISCIPLINE,34
2964-2012,1/3/13,2:46:00 p. m.,12/18/12,3:10:00 a. m.,TOWNSEND HALL,LIQUOR,STUDENT DISCIPLINE,16
2965-2012,1/3/13,2:44:00 p. m.,12/19/02,3:10:00 a. m.,SCOTT HALL,LIQUOR,STUDENT DISCIPLINE,34
2967-2012,1/3/13,2:39:00 p. m.,12/20/12,10:35:00 p. m.,SNYDER HALL,LIQUOR,STUDENT DISCIPLINE,34
2968-2012,1/3/13,2:37:00 p. m.,12/21/12,3:00:00 a. m.,VAN DOREN HALL,LIQUOR,STUDENT DISCIPLINE,34
CC1300070,1/5/13,12:00:00 a. m.,12/23/12,6:25:00 p. m.,800 blk of S FOURTH ST,DESTR/DAMAG/VAND,REPORTED TO OTHER,0
II1300015,1/6/13,4:49:00 p. m.,1/6/13,4:49:00 p. m.,UNIVERSITY AV E / THIRD ST,WARRANT-IN STATE,ARREST,0
II1300016,1/6/13,10:47:00 p. m.,1/6/13,10:47:00 p. m.,SIEBEL,RESIST/OBSTRUCT/DISARM AN,PENDING,4
CC1300115,1/8/13,12:00:00 a. m.,1/4/13,4:45:00 p. m.,600 blk of GREEN ST E,SIMPLE ASSAULT,REPORTED TO OTHER,14
II1300021,1/9/13,2:21:00 a. m.,1/9/13,2:21:00 a. m.,MAHOMET,ASSIST K9 SEARCH,ADMIN. CLOSE,0
II1300024,1/9/13,3:26:00 p. m.,1/9/13,3:26:00 p. m.,IUB,CRIMINAL DEFACEMENT OF,ADMIN. CLOSE,18
II1300026,1/10/13,2:32:00 a. m.,1/10/13,2:32:00 a. m.,JOES BREWERY,MIP,ARREST,0
II1300029,1/10/13,11:07:00 a. m.,1/10/13,9:22:00 a. m.,PSYCHOLOGY BUILDING,DECEPTIVE PRACTICES,ADMIN. CLOSE,23
II1300030,1/11/13,2:41:00 a. m.,1/11/13,2:41:00 a. m.,100 blk of FOURTH ST N,TRESPASS NOTICE,ADMIN. CLOSE,0
II1300031,1/11/13,7:11:00 a. m.,1/11/13,6:48:00 a. m.,ABBOTT POWER PLANT,THEFT UNDER,ARREST,0
CC1300186,1/11/13,12:00:00 a. m.,1/8/13,2:00:00 p. m.,STARBUCKS,LARCENY,REPORTED TO OTHER,0
II1300033,1/12/13,2:11:00 p. m.,1/12/13,2:11:00 p. m.,KCPA,DISORDERLY CONDUCT-ALL,PENDING,19
II1300034,1/12/13,4:13:00 p. m.,1/12/13,4:13:00 p. m.,700 blk of GREGORY ST S,TELEPHONE THREAT,ADMIN. CLOSE,26
II1300035,1/12/13,6:27:00 p. m.,1/12/13,6:27:00 p. m.,ILLINOIS TERMINAL,WARRANT-IN STATE,ARREST,0
II1300036,1/12/13,11:23:00 p. m.,1/12/13,11:23:00 p. m.,MOBIL SUPER PANTRY,WARRANT-IN STATE,ARREST,0
II1300039,1/13/13,3:08:00 a. m.,1/13/13,3:08:00 a. m.,SPRINGFIELD / NEIL,ASSIST/ACCIDENT,ADMIN. CLOSE,0
II1300038,1/13/13,3:26:00 a. m.,1/13/13,3:26:00 a. m.,GREGORY DR W / DORNER DR,ZERO TOLERANCE,ADMIN. CLOSE,0
II1300040,1/13/13,2:42:00 p. m.,1/13/13,2:40:00 p. m.,OREGON ST W / GOODWIN AV,WARRANT-IN STATE,ARREST,25
II1300041,1/13/13,5:38:00 p. m.,1/13/13,5:38:00 p. m.,ILLINI UNION,TRESPASS NOTICE,ADMIN. CLOSE,47
II1300049,1/14/13,4:00:00 p. m.,12/21/12,12:00:00 p. m.,PARKING LOT D-5,THEFT UNDER,ADMIN. CLOSE,17
II1300045,1/14/13,11:20:00 a. m.,11/17/12,12:00:00 p. m.,PARKING LOT E-15,BURGLARY FROM MOTOR,ADMIN. CLOSE,0
