Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
II1400001,1/1/14,3:57:00 a. m.,1/1/14,3:57:00 a. m.,WESLEY AVE / CURTIS RD,ASSIST CCSO TRAF STOP,ADMIN. CLOSE,0
FI140010035,1/1/14,12:45:00 a. m.,1/1/14,12:45:00 a. m.,500 E GREEN,LIQUOR,STUDENT DISCIPLINE,0
II1400005,1/2/14,12:10:00 p. m.,1/2/14,12:10:00 p. m.,NEVADA ST W / BUSEY,ASSIST UPD W/THEFT,ADMIN. CLOSE,0
II1400008,1/3/14,11:27:00 a. m.,8/25/13,11:00:00 a. m.,1100 blk of GREEN ST W,SEXUAL-ASSAULT-CRIMINAL,ADMIN. CLOSE,0
AI140040022,1/4/14,1:35:00 a. m.,1/4/14,1:35:00 a. m.,400-BLK E GREEN,LIQUOR,STUDENT DISCIPLINE,0
II1400013,1/5/14,2:22:00 a. m.,1/5/14,2:22:00 a. m.,JOHN E / FIFTH,WARRANT-IN STATE,ARREST,0
II1400018,1/7/14,4:26:00 p. m.,1/7/14,4:26:00 p. m.,100 blk of SPRINGFIELD E,ASST CPD/ARMED SUBJECT,ADMIN. CLOSE,0
CC1400147,1/7/14,12:00:00 a. m.,1/7/14,4:00:00 p. m.,100 blk of E SPRINGFIELD AVE,BURGLARY,REPORTED TO OTHER,18
II1400035,1/11/14,2:58:00 p. m.,12/21/13,4:00:00 p. m.,100 blk of GREGORY AVE S,MISSING PERSON ADULT/MALE,ADMIN. CLOSE,0
II1400040,1/11/14,11:03:00 p. m.,1/11/14,11:03:00 p. m.,PENNSYLVANIA AVE W / CARLE ST,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST,44
II1400041,1/12/14,12:39:00 a. m.,1/12/14,12:39:00 a. m.,JOHN ST E / SIXTH ST,CANNABIS-POSS 30 GM & UNDER,ARREST,5
II1400045,1/13/14,8:27:00 a. m.,1/2/14,12:00:00 p. m.,PARKING LOT F-9,BURGLARY FROM MOTOR VEHICLE,ADMIN. CLOSE,0
II1400049,1/13/14,4:03:00 p. m.,1/13/14,11:00:00 a. m.,ST MARYS W / GOODWIN,UNLAWFUL RESTRAINT,PENDING,47
II1400051,1/14/14,9:11:00 p. m.,1/14/14,8:58:00 p. m.,GOODWIN / MAIN,ROBBERY,PENDING,0
II1400055,1/16/14,7:28:00 a. m.,1/15/14,11:00:00 p. m.,PARKING LOT D-21,THEFT FROM MOTOR VEHICLE,ADMIN. CLOSE,17
II1400060,1/17/14,2:43:00 p. m.,1/15/14,6:00:00 p. m.,GREEN W / WRIGHT S,THEFT UNDER,ADMIN. CLOSE,18
FI140170045,1/17/14,4:25:00 a. m.,1/17/14,4:25:00 a. m.,DANIEL/THIRD,LIQUOR,STUDENT DISCIPLINE,34
II1400063,1/18/14,2:37:00 a. m.,1/18/14,2:37:00 a. m.,GOODWIN AVE S / ILLINOIS,DRIVING UNDER THE INFL-ALCOHOL,ARREST,34
II1400064,1/18/14,2:16:00 p. m.,1/18/14,12:00:00 p. m.,PARKING LOT E-24,CRIMINAL DAMAGE TO PROPERTY,ADMIN. CLOSE,34
FI140180020,1/18/14,1:04:00 a. m.,1/18/14,1:04:00 a. m.,HARVEY/STOUGHTON,THEFT,ADMIN. CLOSED,0
FI140190481,1/19/14,11:57:00 p. m.,1/19/14,11:57:00 p. m.,JOHN/SIXTH,LIQUOR,STUDENT DISCIPLINE,0
00089-2014,1/19/14,9:15:00 p. m.,1/19/14,9:15:00 p. m.,SCOTT RESD HALL,LIQUOR,STUDENT DISCPLINE,34
00108-2014,1/19/14,11:15:00 p. m.,1/19/14,11:15:00 p. m.,SNYDER RESD HALL,LIQUOR,STUDENT DISCPLINE,47
00090-2014,1/20/14,1:30:00 a. m.,1/20/14,1:30:00 a. m.,LUNDGREN RESD HALL,DRUGS,STUDENT DISCPLINE,0
CC1400149,1/21/14,12:00:00 a. m.,1/7/14,5:44:00 p. m.,300 blk of STOUGHTON ST E,LARCENY,REPORTED TO OTHER,0
CC1400071,1/21/14,12:00:00 a. m.,12/30/13,4:00:00 p. m.,600 blk of FIFTH ST S,LARCENY,REPORTED TO OTHER,0
CC1400018,1/21/14,12:00:00 a. m.,12/31/13,6:00:00 p. m.,100 blk of CHALMERS ST E,DESTR/DAMAG/VAND,REPORTED TO OTHER,34
CC1400013,1/21/14,12:00:00 a. m.,1/1/14,3:51:00 a. m.,300 blk of WATER S,LARCENY,REPORTED TO OTHER,41
FI140210453,1/21/14,11:10:00 p. m.,1/21/14,11:10:00 p. m.,HOPKINS RESD HALL,DRUGS,STUDENT DISCIPLINE,41
II1400083,1/22/14,2:25:00 a. m.,1/22/14,2:25:00 a. m.,WRIGHT / DANIEL,MIP,ARREST,36
II1400094,1/22/14,8:04:00 p. m.,1/22/14,4:00:00 p. m.,REHABILITATION CENTER,THEFT OVER,ADMIN. CLOSE,0
FI140220009,1/22/14,12:38:00 a. m.,1/22/14,12:38:00 a. m.,BLAISDELL RESD HALL,LIQUOR,STUDENT DISCIPLINE,0
AI140220002,1/22/14,12:07:00 a. m.,1/22/14,12:07:00 a. m.,800-BLK S FOURTH,LIQUOR,STUDENT DISCIPLINE,0
