Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,BlockId
FI150010030,1/1/15,0:50,1/1/15,0:50,522 GREEN ST E,LIQUOR,ADMIN. CLOSED,0
FI150010401,1/1/15,23:35,1/1/15,23:35,UNIVERSITY/GREGORY,LIQUOR,ADMIN. CLOSED,34
II1500002,1/1/15,1:05,1/1/15,1:05,THE VILLAGE OF COLBERT,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,0
II1500007,1/4/15,0:53,1/4/15,0:53,500 blk of JOHN ST E,PUBLIC URINATION (C),ARREST,0
CC1500024,1/5/15,0:00,1/1/15,0:45,KAMS,THEFT OVER,REPORTED TO OTHER AGENCY,0
CC1500085,1/5/15,0:00,1/3/15,17:10,FAR EAST GROCERY,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY,0
FI150050029,1/5/15,2:48,1/5/15,2:48,100 E UNIVERSITY,LIQUOR,ADMIN. CLOSED,0
II1500010,1/5/15,9:46,1/1/15,2:00,STATE FARM CENTER,TRESPASS-STATE SUPPORTED LAND,ADMIN. CLOSE,43
II1500014,1/6/15,12:35,1/5/15,14:30,PARKING LOT F-29,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,36
FI150070001,1/7/15,0:10,1/7/15,0:10,PARKING LOT B-4,DRUGS,ADMIN. CLOSED,0
II1500016,1/7/15,12:15,12/22/14,16:00,CHILDRENS RESEARCH CENTER,BURGLARY,ADMIN. CLOSE,0
II1500019,1/8/15,13:37,1/8/15,13:37,PAR,THEFT UNDER,ADMIN. CLOSE,41
CC1500191,1/11/15,0:00,1/7/15,9:00,blk of E GREEN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,0
II1500022,1/11/15,18:46,1/11/15,18:46,HAZELWOOD DR / FOURTH ST S,DRUG EQUIPMENT-POSSESSION,ARREST,0
CSA15-1,1/12/15,12:06,9/1/14,UNKNOWN,EDUCATION BLD,STALKING,ADMIN. CLOSED,36
II1500027,1/13/15,11:12,1/13/15,11:12,ARMORY,THEFT UNDER,ADMIN. CLOSE,0
II1500029,1/13/15,21:47,1/13/15,21:47,GREEN ST W / GOODWIN AVE,DRIVING UNDER INFLUENCE-DRUGS,ARREST,0
FI150140018,1/14/15,0:55,1/14/15,0:55,DANIEL/WRIGHT,LIQUOR,ADMIN. CLOSED,47
CC1500021,1/15/15,0:00,1/1/15,1:30,600 blk of E GREEN ST,SEXUAL ASSAULT-AGG CRIMINAL,REPORTED TO OTHER AGENCY,14
CC1500241,1/15/15,0:00,12/5/14,0:30,RED LION BAR,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,0
CC1500242,1/15/15,0:00,11/15/14,22:00,RED LION,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,0
