Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,
,,,,,,,,
IF1800003,1/1/2018,1:22,1/1/2018,1:22,600 BLK DANIEL,PUBLIC URINATION,ADMIN CLOSED,
,,,,,,,,
II1800001,1/2/2018,10:54,1/2/2018,10:50,IDOC PAROLE OFFICE,WARRANT-IN STATE,ARREST,
,,,,,,,,
CC1711176,1/4/2018,0:00,2/11/2017,12:00,JOES BREWERY,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1711360,1/4/2018,0:00,9/9/2017,22:00,RED LION,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1711435,1/4/2018,0:00,12/22/2017,22:30,300 blk of E CLARK ST,SEXUAL-ASSAULT-CRIMINAL,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1711471,1/4/2018,0:00,12/25/2017,18:45,300 blk of E GREEN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1711471,1/4/2018,0:00,12/25/2017,18:45,300 blk of E GREEN ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1711558,1/4/2018,0:00,12/29/2017,23:10,COUNTY MARKET,RETAIL THEFT,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1711568,1/4/2018,0:00,12/30/2017,14:12,300 blk of E JOHN ST,BATTERY-DOMESTIC,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1800007,1/4/2018,0:00,1/1/2018,1:00,BROTHERS,BATTERY,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1800021,1/4/2018,0:00,1/1/2018,16:27,COUNTY MARKET,THEFT $500 AND UNDER,REPORTED TO OTHER AGENCY,
,,,,,,,,
CSA17-256,1/4/2018,16:58,8/1/2017,0:01,PRIVATE APARTMENT,ROBBERY,ADMIN CLOSED,
,,,,,,,,
