Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition;
;;;;;;;;
II1700001;1/1/2017;2:15;1/1/2017;2:14;GREEN E / FIRST ST;DRIVING UNDER THE INFL-ALCOHOL;ARREST;
;;;;;;;;
II1700001;1/1/2017;2:15;1/1/2017;2:14;GREEN E / FIRST ST;CANNABIS POSS 10 GM OR LESS -ORD;PENDING;
;;;;;;;;
II1700001;1/1/2017;2:15;1/1/2017;2:14;GREEN E / FIRST ST;BREATH ALCOHOL OVER LIMIT;ARREST;
;;;;;;;;
IF1700001;1/1/2017;0:43;1/1/2017;0:43;51 E GREGORY;FIGHT;ADMIN CLOSED;
;;;;;;;;
IF1700002;1/1/2017;1:19;1/1/2017;1:19;SHERMAN RESIDENCE HALL;LIQUOR - UNDERAGE;ADMIN CLOSED;
;;;;;;;;
II1700002;1/3/2017;8:35;8/14/2014;12:00;300 blk of BLUESTEM DR;THEFT OVER $500;ADMIN. CLOSE;
;;;;;;;;
II1700004;1/3/2017;19:08;1/3/2017;19:08;NEIL ST / AVONDALE DR;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1700005;1/4/2017;9:09;1/4/2017;9:09;BIKE RACK;THEFT $500 AND UNDER;PENDING;
;;;;;;;;
CSA16-128;1/4/2017;8:00;12/22/2016;9:30;ILLINOIS STREET RESIDENCE;SEX HARASSMENT;ADMIN CLOSED;
;;;;;;;;
II1700007;1/5/2017;15:05;1/3/2017;18:10;ILLINI UNION BOOKSTORE;THEFT OVER $500;ARREST;
;;;;;;;;
II1700011;1/8/2017;18:28;1/8/2017;18:27;SPRINGFIELD AVE / LINCOLN AVE;CANNABIS POSS 10 GM OR LESS -ORD;ARREST;
;;;;;;;;
II1700014;1/8/2017;22:11;1/8/2017;22:11;THIRD ST S / SPRINGFIELD AVE;CANNABIS POSS OVER 10 - 100 G -MISD;ARREST;
;;;;;;;;
II1700011;1/8/2017;18:28;1/8/2017;18:27;SPRINGFIELD AVE / LINCOLN AVE;POSS OF DRUG PARAPHERNALIA -ORD;ARREST;
;;;;;;;;
II1700012;1/8/2017;19:54;1/8/2017;19:54;ILLINOIS TERMINAL;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1700019;1/9/2017;11:11;1/6/2017;7:00;ORCHARD DOWNS;FRAUD-CREDIT CARD;ADMIN. CLOSE;
;;;;;;;;
II1700015;1/9/2017;1:54;1/9/2017;1:54;OAK ST / STADIUM DR;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1700020;1/10/2017;17:26;1/10/2017;17:26;ILLINI UNION;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1700020;1/10/2017;17:26;1/10/2017;17:26;ILLINI UNION;TRESPASS-STATE SUPPORTED LAND;ARREST;
;;;;;;;;
IF1700019;1/10/2017;5:09;1/10/2017;5:09;KRANNERT CENTER;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
II1700022;1/11/2017;20:14;1/11/2017;20:14;KIRBY AVE W / NEIL ST S;OTHER CRIMINAL OFFENSES;PENDING;
;;;;;;;;
II1700022;1/11/2017;20:14;1/11/2017;20:14;KIRBY AVE W / NEIL ST S;RESIST/OBS CORRECT/POLICE/FIRE;PENDING;
;;;;;;;;
II1700021;1/11/2017;14:40;1/11/2017;14:40;1300 blk of LINCOLN AVENUE N;METRO ACTIVATION;ADMIN. CLOSE;
;;;;;;;;
IF1700022;1/11/2017;1:18;1/11/2017;1:18;PARKING LOT C-5;LARCENY;ADMIN CLOSED;
;;;;;;;;
CSA17-01;1/12/2017;12:00;01/12/20117;UNKNOWN;BECKMAN INSTITUTE;HARASSMENT;ADMIN CLOSED;
;;;;;;;;
II1700025;1/13/2017;9:30;12/16/2016;12:46;ILLINI UNION;FRAUD-CREDIT CARD;ADMIN. CLOSE;
;;;;;;;;
II1700026;1/13/2017;17:35;1/13/2017;17:35;SECOND S / GREEN;CONTROLLED SUBSTANCE-POSSESSION;ARREST;
;;;;;;;;
II1700027;1/14/2017;19:13;1/13/2017;11:30;ILLINI UNION;BURGLARY;UNFOUNDED;
;;;;;;;;
II1700029;1/15/2017;15:27;1/15/2017;15:27;LEONARD RESIDENCE HALL;THEFT $500 AND UNDER;ADMIN. CLOSE;
;;;;;;;;
II1700028;1/15/2017;11:10;1/15/2017;0:00;ORCHARD DOWNS APARTMENTS;BURGLARY FROM MOTOR VEHICLE;ADMIN. CLOSE;
;;;;;;;;
IF1700025;1/15/2017;2:31;1/15/2017;2:31;FOURTH ST / ARMORY;LIQUOR - UNDERAGE;ADMIN CLOSED;
;;;;;;;;
II1700106;1/16/2017;8:44;1/15/2017;23:30;200 blk of GREEN ST E;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE;
;;;;;;;;
II1700036;1/16/2017;17:08;1/16/2017;17:08;500 blk of FIRST ST S;WARRANT-IN STATE;ARREST;
;;;;;;;;
II1700034;1/16/2017;4:43;1/15/2017;23:41;ILLINI UNION;THEFT OF LOST/MISLAID PROPERTY;UNFOUNDED;
;;;;;;;;
II1700037;1/16/2017;17:58;1/16/2017;17:58;CIRCLE K;WARRANT-IN STATE;ARREST;
;;;;;;;;
IF1700034;1/16/2017;5:56;1/16/2017;5:56;SCOTT RESIDENCE HALL;LIQUOR - UNDERAGE;STUDENT DISC REFERRAL;
;;;;;;;;
IF1700039;1/16/2017;20:23;1/16/2017;20:23;BUSEY RESIDENCE HALL;DRUGS;ADMIN CLOSED;
;;;;;;;;
II1700044;1/17/2017;21:04;1/17/2017;21:04;TOWNSEND RESIDENCE HALL;CONTROLLED SUBSTANCE-POSSESSION;STUDENT DISCIPLINE REFERRAL;
;;;;;;;;
II1700041;1/17/2017;13:35;1/4/2017;12:00;300 blk of WHITE ST E;CYBERSTALKING;ARREST;
;;;;;;;;
II1700042;1/17/2017;15:14;1/17/2017;13:00;ILLINI UNION BOOKSTORE;THEFT $500 AND UNDER;STUDENT DISCIPLINE REFERRAL;
;;;;;;;;
II1700041;1/17/2017;13:35;1/4/2017;12:00;300 blk of WHITE ST E;HARASSMENT BY ELECTRONIC COMMUNICAT;PENDING;
;;;;;;;;
II1700044;1/17/2017;21:04;1/17/2017;21:04;TOWNSEND RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;STUDENT DISCIPLINE REFERRAL;
;;;;;;;;
II1700044;1/17/2017;21:04;1/17/2017;21:04;TOWNSEND RESIDENCE HALL;CANNABIS POSS 10 GM OR LESS -ORD;STUDENT DISCIPLINE REFERRAL;
;;;;;;;;
CSA16-127;1/17/2017;11:49;12/1/2016;8:00;PRIVATE RESIDENCE;SEX OFFENSE;ADMIN CLOSED;
;;;;;;;;
CSA16-129;1/17/2017;16:53;12/6/2016;UNKNOWN;TAFT VAN DOREN HALL;SEX OFFENSE;ADMIN CLOSED;
;;;;;;;;
IF1700040;1/17/2017;0:56;1/17/2017;0:56;SAUDNERS RESIDENCE HALL;LIQUOR - UNDERAGE;ADMIN CLOSED;
;;;;;;;;
00032-2017;1/17/2017;9:53;1/15/2017;22:30;WESTON RES HALL;LIQUOR-UNDERAGE;STUDENT DISCIPLINE;
;;;;;;;;
