Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition,
,,,,,,,,
FI150010030,1/1/2015,0:50,1/1/2015,0:50,522 GREEN ST E,LIQUOR,ADMIN. CLOSED,
,,,,,,,,
FI150010401,1/1/2015,23:35,1/1/2015,23:35,UNIVERSITY/GREGORY,LIQUOR,ADMIN. CLOSED,
,,,,,,,,
II1500002,1/1/2015,1:05,1/1/2015,1:05,THE VILLAGE OF COLBERT,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE,
,,,,,,,,
II1500007,1/4/2015,0:53,1/4/2015,0:53,500 blk of JOHN ST E,PUBLIC URINATION (C),ARREST,
,,,,,,,,
CC1500024,1/5/2015,0:00,1/1/2015,0:45,KAMS,THEFT OVER,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1500085,1/5/2015,0:00,1/3/2015,17:10,FAR EAST GROCERY,BURGLARY FROM MOTOR VEHICLE,REPORTED TO OTHER AGENCY,
,,,,,,,,
FI150050029,1/5/2015,2:48,1/5/2015,2:48,100 E UNIVERSITY,LIQUOR,ADMIN. CLOSED,
,,,,,,,,
II1500010,1/5/2015,9:46,1/1/2015,2:00,STATE FARM CENTER,TRESPASS-STATE SUPPORTED LAND,ADMIN. CLOSE,
,,,,,,,,
II1500010,1/5/2015,9:46,1/1/2015,2:00,STATE FARM CENTER,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,
,,,,,,,,
II1500014,1/6/2015,12:35,1/5/2015,14:30,PARKING LOT F-29,CRIMINAL DAMAGE GOVT SUPPORT PROP,ADMIN. CLOSE,
,,,,,,,,
FI150070001,1/7/2015,0:10,1/7/2015,0:10,PARKING LOT B-4,DRUGS,ADMIN. CLOSED,
,,,,,,,,
II1500016,1/7/2015,12:15,12/22/2014,16:00,CHILDRENS RESEARCH CENTER,BURGLARY,ADMIN. CLOSE,
,,,,,,,,
II1500019,1/8/2015,13:37,1/8/2015,13:37,PAR,THEFT UNDER,ADMIN. CLOSE,
,,,,,,,,
CC1500191,1/11/2015,0:00,1/7/2015,9:00,blk of E GREEN ST,CRIMINAL DAMAGE TO PROPERTY,REPORTED TO OTHER AGENCY,
,,,,,,,,
II1500022,1/11/2015,18:46,1/11/2015,18:46,HAZELWOOD DR / FOURTH ST S,DRUG EQUIPMENT-POSSESSION,ARREST,
,,,,,,,,
II1500022,1/11/2015,18:46,1/11/2015,18:46,HAZELWOOD DR / FOURTH ST S,DRIVING UNDER INFLUENCE-DRUGS,ARREST,
,,,,,,,,
CSA15-1,1/12/2015,12:06,9/1/2014,UNKNOWN,EDUCATION BLD,STALKING,ADMIN. CLOSED,
,,,,,,,,
II1500027,1/13/2015,11:12,1/13/2015,11:12,ARMORY,THEFT UNDER,ADMIN. CLOSE,
,,,,,,,,
II1500029,1/13/2015,21:47,1/13/2015,21:47,GREEN ST W / GOODWIN AVE,DRIVING UNDER INFLUENCE-DRUGS,ARREST,
,,,,,,,,
FI150140018,1/14/2015,0:55,1/14/2015,0:55,DANIEL/WRIGHT,LIQUOR,ADMIN. CLOSED,
,,,,,,,,
CC1500021,1/15/2015,0:00,1/1/2015,1:30,600 blk of E GREEN ST,SEXUAL ASSAULT-AGG CRIMINAL,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1500241,1/15/2015,0:00,12/5/2014,0:30,RED LION BAR,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1500242,1/15/2015,0:00,11/15/2014,22:00,RED LION,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1500265,1/15/2015,0:00,11/1/2014,23:45,RED LION,UNLAWFUL USE OF I.D.,REPORTED TO OTHER AGENCY,
,,,,,,,,
CC1500318,1/15/2015,0:00,12/19/2014,16:00,ALPHA KAPPA LAMBDA,THEFT UNDER,REPORTED TO OTHER AGENCY,
,,,,,,,,
II1500034,1/15/2015,1:22,1/15/2015,1:22,GREEN ST E / S FOURTH ST,BREATH ALCOHOL OVER LIMIT,ARREST,
,,,,,,,,
II1500034,1/15/2015,1:22,1/15/2015,1:22,GREEN ST E / S FOURTH ST,DRIVING UNDER THE INFL-ALCOHOL,ARREST,
,,,,,,,,
II1500035,1/15/2015,3:44,1/15/2015,3:44,CVS,CANNABIS POSS 30 G AND UNDER - OLD,ARREST,
,,,,,,,,
II1500035,1/15/2015,3:44,1/15/2015,3:44,CVS,WARRANT-IN STATE,ARREST,
,,,,,,,,
